status,upload_date,size_kb,identity_name_guess,live_profiles_with_this_identity_name,live_scenarios_with_this_identity,template_scenarios_with_this_identity,s3_key,url,gsheet_preview
IN USE,2025-11-09 18:00:46,527,financial alchemist,stg:lala@gmail.com | stg:test_user_5ac281e3@testscenario.com,stg:YC test Jason,stg:YC test Jason (la@discovita.com),media/5bbc3a11-fb74-4543-bdd4-b4b52289a7d7/financial_alchemist.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/5bbc3a11-fb74-4543-bdd4-b4b52289a7d7/financial_alchemist.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/5bbc3a11-fb74-4543-bdd4-b4b52289a7d7/financial_alchemist.jpg"")"
IN USE,2025-11-09 18:00:46,588,financial brick mason,stg:lala@gmail.com,,,media/073ef1b1-d384-4f2f-a04a-9b4007bf1486/financial_brick_mason.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/073ef1b1-d384-4f2f-a04a-9b4007bf1486/financial_brick_mason.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/073ef1b1-d384-4f2f-a04a-9b4007bf1486/financial_brick_mason.jpg"")"
IN USE,2025-11-09 18:00:46,536,tactical mastermind,stg:lala@gmail.com | stg:test_user_5ac281e3@testscenario.com,stg:YC test Jason,stg:YC test Jason (la@discovita.com),media/96dd0d2e-e229-4c70-b5f3-4c7a274a669a/tactical_mastermind.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/96dd0d2e-e229-4c70-b5f3-4c7a274a669a/tactical_mastermind.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/96dd0d2e-e229-4c70-b5f3-4c7a274a669a/tactical_mastermind.jpg"")"
IN USE,2025-11-09 18:00:47,446,big brother,stg:lala@gmail.com,,,media/fb55de36-148f-44da-b062-769b5d11f5a8/big_brother.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/fb55de36-148f-44da-b062-769b5d11f5a8/big_brother.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/fb55de36-148f-44da-b062-769b5d11f5a8/big_brother.jpg"")"
IN USE,2025-11-09 18:00:47,298,castle builder,stg:lala@gmail.com | stg:test_user_5ac281e3@testscenario.com,stg:YC test Jason,stg:YC test Jason (la@discovita.com),media/c8f3db11-e0f7-4e11-99a2-62e7f0ce964d/castle_builder.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/c8f3db11-e0f7-4e11-99a2-62e7f0ce964d/castle_builder.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/c8f3db11-e0f7-4e11-99a2-62e7f0ce964d/castle_builder.jpg"")"
IN USE,2025-11-09 18:00:47,425,manifestation king,stg:lala@gmail.com | stg:test_user_5ac281e3@testscenario.com,stg:YC test Jason,stg:YC test Jason (la@discovita.com),media/680f3630-c371-4834-aa95-dfdb12eaf219/manifestation_king.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/680f3630-c371-4834-aa95-dfdb12eaf219/manifestation_king.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/680f3630-c371-4834-aa95-dfdb12eaf219/manifestation_king.jpg"")"
IN USE,2025-11-09 18:00:47,392,master of time,stg:lala@gmail.com | stg:test_user_5ac281e3@testscenario.com,stg:YC test Jason,stg:YC test Jason (la@discovita.com),media/0e77071b-4df6-4116-b8e1-b65d08a474c6/master_of_time.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/0e77071b-4df6-4116-b8e1-b65d08a474c6/master_of_time.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/0e77071b-4df6-4116-b8e1-b65d08a474c6/master_of_time.jpg"")"
IN USE,2025-11-09 18:00:47,288,swimmer,stg:lala@gmail.com,,,media/2933cbd5-a89d-469c-96a3-f2cb7f43de84/swimmer.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/2933cbd5-a89d-469c-96a3-f2cb7f43de84/swimmer.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/2933cbd5-a89d-469c-96a3-f2cb7f43de84/swimmer.jpg"")"
IN USE,2025-11-09 18:00:48,687,dream chaser,,,,media/2f6a5641-748d-4e1a-9ed4-78303c45a3f1/dream_chaser.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/2f6a5641-748d-4e1a-9ed4-78303c45a3f1/dream_chaser.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/2f6a5641-748d-4e1a-9ed4-78303c45a3f1/dream_chaser.jpg"")"
IN USE,2025-11-09 18:02:49,431,money lover,stg:test_user_05c07943@testscenario.com,stg:YC test Latriza,stg:YC test Latriza (la@discovita.com),media/0f746adf-7b46-4d05-93c5-a6b005c4518f/money_lover.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/0f746adf-7b46-4d05-93c5-a6b005c4518f/money_lover.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/0f746adf-7b46-4d05-93c5-a6b005c4518f/money_lover.jpg"")"
IN USE,2025-11-09 23:01:04,416,magical healer,stg:lalegendsmma@gmail.com | stg:test_user_b344151d@testscenario.com,stg:YC test Leigh Ann,stg:YC test Leigh Ann (la@discovita.com),media/29971f45-99de-4352-b8eb-983a523f1821/magical_healer.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/29971f45-99de-4352-b8eb-983a523f1821/magical_healer.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/29971f45-99de-4352-b8eb-983a523f1821/magical_healer.jpg"")"
IN USE,2025-11-09 23:01:05,450,power banker,prd:la@discovita.com | prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_3e3bc511@testscenario.com | stg:test_user_3ff6c483@testscenario.com | stg:test_user_6701f39c@testscenario.com | stg:test_user_8c3ce78d@testscenario.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com,prd:full test sept 10 2025 | stg:LA dec 20 2025 | stg:YC test Leigh Ann | stg:full test sept 10 2025 | stg:leigh ann IC test | stg:leigh ann no identity compnents,prd:full test sept 10 2025 (la@discovita.com) | stg:LA dec 20 2025 (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com) | stg:leigh ann IC test (la@discovita.com) | stg:leigh ann no identity compnents (la@discovita.com),media/17338f54-59a4-473e-af92-5d3997cbf243/power_banker.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/17338f54-59a4-473e-af92-5d3997cbf243/power_banker.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/17338f54-59a4-473e-af92-5d3997cbf243/power_banker.jpg"")"
IN USE,2025-11-09 23:01:05,437,successful entrepenuer,,,,media/47aa1654-88ea-4245-a6f1-b3810fadeb7e/successful_entrepenuer.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/47aa1654-88ea-4245-a6f1-b3810fadeb7e/successful_entrepenuer.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/47aa1654-88ea-4245-a6f1-b3810fadeb7e/successful_entrepenuer.jpg"")"
IN USE,2025-11-09 23:01:06,658,creator,prd:la@discovita.com | prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_04c10b4f@testscenario.com | stg:test_user_3e3bc511@testscenario.com | stg:test_user_3ff6c483@testscenario.com | stg:test_user_44c25234@testscenario.com | stg:test_user_6701f39c@testscenario.com | stg:test_user_8c3ce78d@testscenario.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com | stg:test_user_f85c91d1@testscenario.com | stg:test_user_fbd2531c@testscenario.com,prd:full test sept 10 2025 | stg:Casey - BR Testing | stg:Casey - IR Testing | stg:LA dec 20 2025 | stg:LA test oct 27 | stg:YC test Leigh Ann | stg:full test sept 10 2025 | stg:leigh ann IC test | stg:leigh ann no identity compnents | stg:leigh ann test oct 23,prd:full test sept 10 2025 (la@discovita.com) | stg:Casey - BR Testing (superadmin@admin.com) | stg:Casey - IR Testing (superadmin@admin.com) | stg:LA dec 20 2025 (la@discovita.com) | stg:LA test oct 27 (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com) | stg:leigh ann IC test (la@discovita.com) | stg:leigh ann no identity compnents (la@discovita.com) | stg:leigh ann test oct 23 (la@discovita.com),media/fc7b3988-2861-4c12-be17-1a861d305dd0/creator.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/fc7b3988-2861-4c12-be17-1a861d305dd0/creator.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/fc7b3988-2861-4c12-be17-1a861d305dd0/creator.jpg"")"
IN USE,2025-11-09 23:01:07,585,adventurer,stg:lalegendsmma@gmail.com | stg:test_user_3e3bc511@testscenario.com | stg:test_user_8c3ce78d@testscenario.com | stg:test_user_b344151d@testscenario.com,stg:YC test Leigh Ann | stg:leigh ann no identity compnents,stg:YC test Leigh Ann (la@discovita.com) | stg:leigh ann no identity compnents (la@discovita.com),media/add48e95-2dc4-4750-bd7b-c4b937c5b5e9/adventurer.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/add48e95-2dc4-4750-bd7b-c4b937c5b5e9/adventurer.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/add48e95-2dc4-4750-bd7b-c4b937c5b5e9/adventurer.jpg"")"
IN USE,2025-11-09 23:01:07,518,elegant icon,prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_3ff6c483@testscenario.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com,prd:full test sept 10 2025 | stg:LA dec 20 2025 | stg:YC test Leigh Ann | stg:full test sept 10 2025,prd:full test sept 10 2025 (la@discovita.com) | stg:LA dec 20 2025 (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com),media/afeb1925-8dac-42d9-8d6b-9d0531b921b6/elegant_icon.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/afeb1925-8dac-42d9-8d6b-9d0531b921b6/elegant_icon.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/afeb1925-8dac-42d9-8d6b-9d0531b921b6/elegant_icon.jpg"")"
IN USE,2025-11-09 23:01:08,531,acrobat,prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com,prd:full test sept 10 2025 | stg:YC test Leigh Ann | stg:full test sept 10 2025,prd:full test sept 10 2025 (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com),media/76309910-8935-419d-ba7e-1077798caf30/acrobat.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/76309910-8935-419d-ba7e-1077798caf30/acrobat.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/76309910-8935-419d-ba7e-1077798caf30/acrobat.jpg"")"
IN USE,2025-11-09 23:01:09,423,empowered mother,prd:la@discovita.com | stg:test_user_b344151d@testscenario.com,stg:YC test Leigh Ann,stg:YC test Leigh Ann (la@discovita.com),media/88add721-19bb-4608-9ab7-010f20a146fa/empowered_mother.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/88add721-19bb-4608-9ab7-010f20a146fa/empowered_mother.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/88add721-19bb-4608-9ab7-010f20a146fa/empowered_mother.jpg"")"
IN USE,2025-11-09 23:01:09,543,princess wife,stg:test_user_b344151d@testscenario.com,stg:YC test Leigh Ann,stg:YC test Leigh Ann (la@discovita.com),media/b7a6211c-334e-44e6-aa24-8878145b5706/princess_wife.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/b7a6211c-334e-44e6-aa24-8878145b5706/princess_wife.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/b7a6211c-334e-44e6-aa24-8878145b5706/princess_wife.jpg"")"
IN USE,2025-11-09 23:01:10,444,captain of my life,prd:la@discovita.com | prd:test_user_e349cbf6@testscenario.com | stg:lalegendsmma@gmail.com | stg:test_user_05c07943@testscenario.com | stg:test_user_3ff6c483@testscenario.com | stg:test_user_8c3ce78d@testscenario.com | stg:test_user_b344151d@testscenario.com | stg:test_user_e349cbf6@testscenario.com,prd:full test sept 10 2025 | stg:LA dec 20 2025 | stg:YC test Latriza | stg:YC test Leigh Ann | stg:full test sept 10 2025,prd:full test sept 10 2025 (la@discovita.com) | stg:LA dec 20 2025 (la@discovita.com) | stg:YC test Latriza (la@discovita.com) | stg:YC test Leigh Ann (la@discovita.com) | stg:full test sept 10 2025 (la@discovita.com),media/39fc59a5-2e15-4aa0-94a6-f53b2e070266/captain_of_my_life.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/39fc59a5-2e15-4aa0-94a6-f53b2e070266/captain_of_my_life.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/39fc59a5-2e15-4aa0-94a6-f53b2e070266/captain_of_my_life.jpg"")"
orphan,2025-11-08 18:39:56,202,Casey Schmid,,,,media/8e12d137-ecc4-4bb8-ac2b-f60fe60e522f/Casey-Schmid.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/8e12d137-ecc4-4bb8-ac2b-f60fe60e522f/Casey-Schmid.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/8e12d137-ecc4-4bb8-ac2b-f60fe60e522f/Casey-Schmid.jpg"")"
orphan,2025-11-08 18:39:58,202,Casey Schmid,,,,media/4aa9b486-c917-4ac8-860f-7b2213fe9e4c/Casey-Schmid.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/4aa9b486-c917-4ac8-860f-7b2213fe9e4c/Casey-Schmid.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/4aa9b486-c917-4ac8-860f-7b2213fe9e4c/Casey-Schmid.jpg"")"
orphan,2025-11-08 18:39:58,202,Casey Schmid,,,,media/81ff8070-5b90-43e8-ab33-da454466789c/Casey-Schmid.jpg,https://discovita-dev-coach-staging.s3.amazonaws.com/media/81ff8070-5b90-43e8-ab33-da454466789c/Casey-Schmid.jpg,"=IMAGE(""https://discovita-dev-coach-staging.s3.amazonaws.com/media/81ff8070-5b90-43e8-ab33-da454466789c/Casey-Schmid.jpg"")"
